,Column1,id,date,tweet,language,hashtags,cashtags,retweet,nlikes,nreplies,nretweets,"search",tokens,trend
1,1,1.39226e+18,2021-05-11,"based on prior market history (2000-2008), owning growth or high p/e stocks, exceptions being  $amzn or $goog, is a losing proposition at least until 2028.  take your profits on the dead cat bounces and have your stops set on the downside. $tsla $arkk $fubo $penn $dkng $bynd",en,[],"['amzn', 'goog', 'tsla', 'arkk', 'fubo', 'penn', 'dkng', 'bynd']",False,14.0,3.0,0.0,"$GOOG","['based', 'prior', 'market', 'history', '(2000-2008),', 'owning', 'growth', 'high', 'p/e', 'stocks,', 'exception', '$amzn', '$goog,', 'losing', 'proposition', 'least', '2028.', 'take', 'profit', 'dead', 'cat', 'bounce', 'stop', 'set', 'downside.', '$tsla', '$arkk', '$fubo', '$penn', '$dkng', '$bynd']",negative
4,4,1.39225e+18,2021-05-11,$qqq you should lighten on $qqq etf but not completely sell out of it. interest rates may go up to 2% but this is not enough to bring down growth stocks e.g. the tech stocks $goog $amzn $aapl $fb $nflx since they are goods/services that make us more productive &amp; more efficient.,en,[],"['qqq', 'qqq', 'goog', 'amzn', 'aapl', 'fb', 'nflx']",False,0.0,0.0,0.0,"$GOOG","['$qqq', 'lighten', '$qqq', 'etf', 'completely', 'sell', 'it.', 'interest', 'rate', 'may', 'go', '2%', 'enough', 'bring', 'growth', 'stock', 'e.g.', 'tech', 'stock', '$goog', '$amzn', '$aapl', '$fb', '$nflx', 'since', 'goods/services', 'make', 'u', 'productive', '&amp;', 'efficient.']",negative
5,5,1.39225e+18,2021-05-11,"join @johnfcarter  as he breaks down the largest trade of his career with $goog (not $tsla this time!) next mon on our fb live. 💸  this trade had a lot of pain and suffering, but it paid off with a $5 million day.  bring your questions &amp; rsvp below ⬇️   https://t.co/0azvzvnqkv",en,[],"['goog', 'tsla']",False,9.0,0.0,0.0,"$GOOG","['join', '@johnfcarter', 'break', 'largest', 'trade', 'career', '$goog', '(not', '$tsla', 'time!)', 'next', 'mon', 'fb', 'live.', '💸', 'trade', 'lot', 'pain', 'suffering,', 'paid', '$5', 'million', 'day.', 'bring', 'question', '&amp;', 'rsvp', '⬇️', 'https://t.co/0azvzvnqkv']",positive
22,22,1.39223e+18,2021-05-11,"@dmckdani @madthunderdome @energycynic with inflation, you’ll need to raise wages which are a large % of costs for software firms. good news is $goog has pricing power cause ads are worth a fraction of the goods the ad sells, unclear if back-of-house saas tools can increase price at same rate without causing churn.",en,[],['goog'],False,0.0,1.0,0.0,"$GOOG","['@dmckdani', '@madthunderdome', '@energycynic', 'inflation,', 'you’ll', 'need', 'raise', 'wage', 'large', 'cost', 'software', 'firms.', 'good', 'news', '$goog', 'pricing', 'power', 'cause', 'ad', 'worth', 'fraction', 'good', 'ad', 'sells,', 'unclear', 'back-of-house', 'saas', 'tool', 'increase', 'price', 'rate', 'without', 'causing', 'churn.']",positive
23,23,1.39223e+18,2021-05-11,"in the disruption section of tonight's report, we update clients on quantum computing, a key but still evolving disruptive technology. there will soon be a us public equity pure play in the space: ionq.  read it by signing up free on  https://t.co/pkogxvctit! $spy $goog",en,[],"['spy', 'goog']",False,1.0,0.0,0.0,"$GOOG","['disruption', 'section', ""tonight's"", 'report,', 'update', 'client', 'quantum', 'computing,', 'key', 'still', 'evolving', 'disruptive', 'technology.', 'soon', 'u', 'public', 'equity', 'pure', 'play', 'space:', 'ionq.', 'read', 'signing', 'free', 'https://t.co/pkogxvctit!', '$spy', '$goog']",negative
27,27,1.39222e+18,2021-05-11,"@tidefallcapital agree, and alphabet appears very attractive (regardless) $goog",en,[],['goog'],False,0.0,1.0,0.0,"$GOOG","['@tidefallcapital', 'agree,', 'alphabet', 'appears', 'attractive', '(regardless)', '$goog']",positive
29,29,1.39222e+18,2021-05-11,u guys still using #android out there?  experts warn of a new android banking trojan stealing users' credentials  https://t.co/bydlxwzmnp $aapl $goog,en,['android'],"['aapl', 'goog']",False,0.0,0.0,1.0,"$GOOG","['u', 'guy', 'still', 'using', '#android', 'there?', 'expert', 'warn', 'new', 'android', 'banking', 'trojan', 'stealing', ""users'"", 'credential', 'https://t.co/bydlxwzmnp', '$aapl', '$goog']",negative
33,33,1.39221e+18,2021-05-11,"tuesday's top flow in #nasdaq #nasdaq100, buy flow &amp; sell flow $amzn $wday $mrna $vrsn $googl $txn $sbux $adi $jd $wba $aapl $dxcm $nflx $tsla $goog $cdw $fb $adp $lrcx $nvda #stock #stocks #stockmarket #investment #investing  https://t.co/5je2nlrw3b  https://t.co/ti4g1gdymc",en,"['nasdaq', 'nasdaq100', 'stock', 'stocks', 'stockmarket', 'investment', 'investing']","['amzn', 'wday', 'mrna', 'vrsn', 'googl', 'txn', 'sbux', 'adi', 'jd', 'wba', 'aapl', 'dxcm', 'nflx', 'tsla', 'goog', 'cdw', 'fb', 'adp', 'lrcx', 'nvda']",False,0.0,0.0,1.0,"$GOOG","[""tuesday's"", 'top', 'flow', '#nasdaq', '#nasdaq100,', 'buy', 'flow', '&amp;', 'sell', 'flow', '$amzn', '$wday', '$mrna', '$vrsn', '$googl', '$txn', '$sbux', '$adi', '$jd', '$wba', '$aapl', '$dxcm', '$nflx', '$tsla', '$goog', '$cdw', '$fb', '$adp', '$lrcx', '$nvda', '#stock', '#stocks', '#stockmarket', '#investment', '#investing', 'https://t.co/5je2nlrw3b', 'https://t.co/ti4g1gdymc']",positive
38,38,1.39221e+18,2021-05-11,$prpl after a bit of a selloff in the morning trended somewhat acceptable rest of day. on watch for tomorrow.  had a small ubs price upgrade to $35 from $32. report earnings may 17th.   $spy $qqq $tsla $aapl $amzn $msft $baba $goog $nvda $nio $fb $twlo $pton $tdoc $sq $penn $dkng  https://t.co/qx4esp4gwv,en,[],"['prpl', 'spy', 'qqq', 'tsla', 'aapl', 'amzn', 'msft', 'baba', 'goog', 'nvda', 'nio', 'fb', 'twlo', 'pton', 'tdoc', 'sq', 'penn', 'dkng']",False,0.0,0.0,0.0,"$GOOG","['$prpl', 'bit', 'selloff', 'morning', 'trended', 'somewhat', 'acceptable', 'rest', 'day.', 'watch', 'tomorrow.', 'small', 'ubs', 'price', 'upgrade', '$35', '$32.', 'report', 'earnings', 'may', '17th.', '$spy', '$qqq', '$tsla', '$aapl', '$amzn', '$msft', '$baba', '$goog', '$nvda', '$nio', '$fb', '$twlo', '$pton', '$tdoc', '$sq', '$penn', '$dkng', 'https://t.co/qx4esp4gwv']",uncertainty
69,70,1.39217e+18,2021-05-11,"$prts had a good surge just now on good volume.  sold some, moved stops up, monitoring rest of day.  $spy $qqq $tsla $aapl $amzn $msft $baba $goog $nvda $nio $fb $twlo $pton $sq $penn  https://t.co/1pfbecv8vo",en,[],"['prts', 'spy', 'qqq', 'tsla', 'aapl', 'amzn', 'msft', 'baba', 'goog', 'nvda', 'nio', 'fb', 'twlo', 'pton', 'sq', 'penn']",False,0.0,0.0,0.0,"$GOOG","['$prts', 'good', 'surge', 'good', 'volume.', 'sold', 'some,', 'moved', 'stop', 'up,', 'monitoring', 'rest', 'day.', '$spy', '$qqq', '$tsla', '$aapl', '$amzn', '$msft', '$baba', '$goog', '$nvda', '$nio', '$fb', '$twlo', '$pton', '$sq', '$penn', 'https://t.co/1pfbecv8vo']",positive
78,79,1.39216e+18,2021-05-11,"last friday reminded me that everyone will suffer losses but how you respond to those losses, will take you to higher levels!  capitalizing in the worst market conditions, takes skillz i’m still mastering! profitable day! $tsla $ba $riot $ntec $goog $amzn #happytrading 🙏🏾💰🙏🏾  https://t.co/qhgdw8v5sh",en,['happytrading'],"['tsla', 'ba', 'riot', 'ntec', 'goog', 'amzn']",False,0.0,0.0,0.0,"$GOOG","['last', 'friday', 'reminded', 'everyone', 'suffer', 'loss', 'respond', 'losses,', 'take', 'higher', 'levels!', 'capitalizing', 'worst', 'market', 'conditions,', 'take', 'skillz', 'i’m', 'still', 'mastering!', 'profitable', 'day!', '$tsla', '$ba', '$riot', '$ntec', '$goog', '$amzn', '#happytrading', '🙏🏾💰🙏🏾', 'https://t.co/qhgdw8v5sh']",negative
