Column1,id,date,tweet,language,hashtags,cashtags,retweet,nlikes,nreplies,nretweets,search
0,1.39226E+18,5/11/2021 23:17,$goog $googl new article : youtube introduces $100 million fund to advance short-form video  https://t.co/cnzcmgvgva get all the latest $goog related news here :  https://t.co/cboanl2bcm  https://t.co/oz8qycc24f,en,[],"['goog', 'googl', 'goog']",FALSE,0,0,0,$GOOG
1,1.39226E+18,5/11/2021 23:15,"based on prior market history (2000-2008), owning growth or high p/e stocks, exceptions being  $amzn or $goog, is a losing proposition at least until 2028.  take your profits on the dead cat bounces and have your stops set on the downside. $tsla $arkk $fubo $penn $dkng $bynd",en,[],"['amzn', 'goog', 'tsla', 'arkk', 'fubo', 'penn', 'dkng', 'bynd']",FALSE,14,3,0,$GOOG
2,1.39226E+18,5/11/2021 23:14,google vice president on silicon valley's issues with diversity  https://t.co/vc8ym34pjz $goog,en,[],['goog'],FALSE,0,0,0,$GOOG
3,1.39226E+18,5/11/2021 23:08,today’s scalps: $fsly 2.18➡️3.14 $nio 2.24➡️2.65 $zm 4.5➡️5.2 $qqq 2.9➡️3.4 $goog 2.3➡️2.75 $amd 1.8➡️2.25 $now 21.25➡️26  small account challenge: $feye 1.09➡️1.25 $arkk 1.15➡️1.35 $jmia 1.47➡️1.65 $se 3.7➡️4.3 $sq 4.55➡️4.8  hedges paid: $spy 3.08➡️hit 8.5 $qqq 4.51➡️hit 9.6,en,[],"['fsly', 'nio', 'zm', 'qqq', 'goog', 'amd', 'now', 'feye', 'arkk', 'jmia', 'se', 'sq', 'spy', 'qqq']",FALSE,4,2,1,$GOOG
4,1.39225E+18,5/11/2021 23:04,$qqq you should lighten on $qqq etf but not completely sell out of it. interest rates may go up to 2% but this is not enough to bring down growth stocks e.g. the tech stocks $goog $amzn $aapl $fb $nflx since they are goods/services that make us more productive &amp; more efficient.,en,[],"['qqq', 'qqq', 'goog', 'amzn', 'aapl', 'fb', 'nflx']",FALSE,0,0,0,$GOOG
5,1.39225E+18,5/11/2021 22:55,"join @johnfcarter  as he breaks down the largest trade of his career with $goog (not $tsla this time!) next mon on our fb live. 💸  this trade had a lot of pain and suffering, but it paid off with a $5 million day.  bring your questions &amp; rsvp below ⬇️   https://t.co/0azvzvnqkv",en,[],"['goog', 'tsla']",FALSE,9,0,0,$GOOG
6,1.39225E+18,5/11/2021 22:51,"@_seandavid long $goog, $fb and $amzn is a no brainer at this point",en,[],"['goog', 'fb', 'amzn']",FALSE,2,0,0,$GOOG
7,1.39225E+18,5/11/2021 22:48,"waymo, cruise apply to charge for autonomous rides in ca, reuters says $gm $googl $goog",en,[],"['gm', 'googl', 'goog']",FALSE,0,0,0,$GOOG
8,1.39225E+18,5/11/2021 22:47,$coin - screaming after hours noooooice lfg!   $spy $fb $aapl $goog $amzn  https://t.co/4ef91rqejb,en,[],"['coin', 'spy', 'fb', 'aapl', 'goog', 'amzn']",FALSE,2,1,0,$GOOG
9,1.39225E+18,5/11/2021 22:43,free stock chatroom link below  $amzn $aapl $amd $fb $boxl $ba $pfe $mcd $ups $mmm $sint $solo $ge $spot $v $apha $ebay $ma $mu $rtx $azn $f $sap $qcom $cnc $mo $nak $pg $abbv $goog $nakd $rpm $gild $phun $khc $novn $abcb $bud $mrna $clf $wafu $ino $spce  https://t.co/k3bjkusypf,en,[],"['amzn', 'aapl', 'amd', 'fb', 'boxl', 'ba', 'pfe', 'mcd', 'ups', 'mmm', 'sint', 'solo', 'ge', 'spot', 'v', 'apha', 'ebay', 'ma', 'mu', 'rtx', 'azn', 'f', 'sap', 'qcom', 'cnc', 'mo', 'nak', 'pg', 'abbv', 'goog', 'nakd', 'rpm', 'gild', 'phun', 'khc', 'novn', 'abcb', 'bud', 'mrna', 'clf', 'wafu', 'ino', 'spce']",FALSE,1,0,0,$GOOG
10,1.39225E+18,5/11/2021 22:38,$goog alphabet's google plans to double ai ethics staff   https://t.co/shqr20yrxc,en,[],['goog'],FALSE,1,0,0,$GOOG
11,1.39225E+18,5/11/2021 22:33,"$goog $googl new article : exclusive - waymo, cruise seek permits to charge for self-driving car rides in san francisco  https://t.co/ftn8ytwxkm get all the latest $goog related news here :  https://t.co/cboanl2bcm  https://t.co/gveqi5pc92",en,[],"['goog', 'googl', 'goog']",FALSE,0,0,0,$GOOG
12,1.39225E+18,5/11/2021 22:31,get instant updates and free trials join here   $amc $gme $nok  $spy $rh $bb $rkt $aapl $aal $nakd $sol $dal $m $tsla $slv $x $fb $pt $nio $koss $spy $twtr $amzn $goog $tsla  https://t.co/qmk5dlud5k,en,[],"['amc', 'gme', 'nok', 'spy', 'rh', 'bb', 'rkt', 'aapl', 'aal', 'nakd', 'sol', 'dal', 'm', 'tsla', 'slv', 'x', 'fb', 'pt', 'nio', 'koss', 'spy', 'twtr', 'amzn', 'goog', 'tsla']",FALSE,0,0,0,$GOOG
13,1.39225E+18,5/11/2021 22:30,today's top bearish flow... 🐻  $goog $aapl $crwd $mu $vno $amgn  👉 https://t.co/2s8fbpwehe  #options #stockmarket #wallstreet #nasdaq #nyse #fintech #blackbox  https://t.co/ubyb2bf0l0,en,"['options', 'stockmarket', 'wallstreet', 'nasdaq', 'nyse', 'fintech', 'blackbox']","['goog', 'aapl', 'crwd', 'mu', 'vno', 'amgn']",FALSE,2,0,0,$GOOG
14,1.39225E+18,5/11/2021 22:28,"exclusive-waymo, cruise seek permits to charge for self-driving car rides in san francisco $goog $gm $hmc $cmg  https://t.co/ftzvmxrbwe",en,[],"['goog', 'gm', 'hmc', 'cmg']",FALSE,0,0,0,$GOOG
15,1.39224E+18,5/11/2021 22:25,$goog alphabet inc. sec filing: form 4  https://t.co/wydisaxjv0,en,[],['goog'],FALSE,0,0,0,$GOOG
16,1.39224E+18,5/11/2021 22:18,"i used $goog and $wu to send my relatives at home money, bought nft from $ebay, bought tickets to a concert in #ticketmaster, paid for coffee through the cafes $sq dongle and left a review for them on $trip. $hmbl @humblpay @humbl_ir @georgeasharp #dontbethisperson #1stopshop",en,"['ticketmaster', 'dontbethisperson', '1stopshop']","['goog', 'wu', 'ebay', 'sq', 'trip', 'hmbl']",FALSE,0,0,0,$GOOG
17,1.39224E+18,5/11/2021 22:10,"insider sergey brin reports selling 13,889 shares of $goog for a total cost of $31,963,563.35  https://t.co/kpol246q7z",en,[],['goog'],FALSE,0,0,0,$GOOG
18,1.39224E+18,5/11/2021 22:02,"$goog 2465c exp:21-may-21 ↑↑  🚀 total(day): $51,405  #smartmoneyflow  https://t.co/p7bhdwrxcx",en,['smartmoneyflow'],['goog'],FALSE,0,0,0,$GOOG
19,1.39223E+18,5/11/2021 21:36,alerts and updates and free trials join here   $tsla $spy $ba $gme $wmt $bby $qqq $td $s $nio $d $amc $rkt $itm $dis $gm $shop $riot $tgt $f $orcl $pltr $wb $goog $aapl  https://t.co/fkrgliyt6o,en,[],"['tsla', 'spy', 'ba', 'gme', 'wmt', 'bby', 'qqq', 'td', 's', 'nio', 'd', 'amc', 'rkt', 'itm', 'dis', 'gm', 'shop', 'riot', 'tgt', 'f', 'orcl', 'pltr', 'wb', 'goog', 'aapl']",FALSE,0,0,0,$GOOG
20,1.39223E+18,5/11/2021 21:31,get instant updates and free trials join here   $amc $gme $nok  $spy $rh $bb $rkt $aapl $aal $nakd $sol $dal $m $tsla $slv $x $fb $pt $nio $koss $spy $twtr $amzn $goog $spce  https://t.co/cmdrdhugfv,en,[],"['amc', 'gme', 'nok', 'spy', 'rh', 'bb', 'rkt', 'aapl', 'aal', 'nakd', 'sol', 'dal', 'm', 'tsla', 'slv', 'x', 'fb', 'pt', 'nio', 'koss', 'spy', 'twtr', 'amzn', 'goog', 'spce']",FALSE,1,0,0,$GOOG
21,1.39223E+18,5/11/2021 21:27,free stock chatroom link below  $amzn $aapl $amd $fb $boxl $ba $pfe $mcd $ups $mmm $sint $solo $ge $spot $v $apha $ebay $ma $mu $rtx $azn $f $sap $qcom $cnc $mo $nak $pg $abbv $goog $nakd $rpm $gild $phun $khc $novn $abcb $bud $mrna $clf $wafu $ino $spy  https://t.co/ydwugi4vlz,en,[],"['amzn', 'aapl', 'amd', 'fb', 'boxl', 'ba', 'pfe', 'mcd', 'ups', 'mmm', 'sint', 'solo', 'ge', 'spot', 'v', 'apha', 'ebay', 'ma', 'mu', 'rtx', 'azn', 'f', 'sap', 'qcom', 'cnc', 'mo', 'nak', 'pg', 'abbv', 'goog', 'nakd', 'rpm', 'gild', 'phun', 'khc', 'novn', 'abcb', 'bud', 'mrna', 'clf', 'wafu', 'ino', 'spy']",FALSE,0,0,0,$GOOG
22,1.39223E+18,5/11/2021 21:15,"@dmckdani @madthunderdome @energycynic with inflation, you’ll need to raise wages which are a large % of costs for software firms. good news is $goog has pricing power cause ads are worth a fraction of the goods the ad sells, unclear if back-of-house saas tools can increase price at same rate without causing churn.",en,[],['goog'],FALSE,0,1,0,$GOOG
23,1.39223E+18,5/11/2021 21:15,"in the disruption section of tonight's report, we update clients on quantum computing, a key but still evolving disruptive technology. there will soon be a us public equity pure play in the space: ionq.  read it by signing up free on  https://t.co/pkogxvctit! $spy $goog",en,[],"['spy', 'goog']",FALSE,1,0,0,$GOOG
24,1.39222E+18,5/11/2021 21:05,@gafambot yo check this out on $goog   https://t.co/girn66dimq,en,[],['goog'],FALSE,0,0,0,$GOOG
25,1.39222E+18,5/11/2021 21:03,@alexdmackinnon @tidefallcapital yo check this out on $goog   https://t.co/girn66dimq,en,[],['goog'],FALSE,0,0,0,$GOOG
26,1.39222E+18,5/11/2021 21:03,here are the companies listed with the highest sales cagr for the last 15 years:  $bidu $meli $crm $lulu $amzn $ntes $nflx $vmw $goog $eqix $aapl,en,[],"['bidu', 'meli', 'crm', 'lulu', 'amzn', 'ntes', 'nflx', 'vmw', 'goog', 'eqix', 'aapl']",FALSE,2,0,0,$GOOG
27,1.39222E+18,5/11/2021 21:00,"@tidefallcapital agree, and alphabet appears very attractive (regardless) $goog",en,[],['goog'],FALSE,0,1,0,$GOOG
28,1.39222E+18,5/11/2021 20:54,".@fubotv added 43k subscribers in 2021, surpassing 590k (up 105% year-over-year).  they now expect to reach at least 830k subscribers by the end of 2021.   https://t.co/wrvjwwd1d8  $fubo $dish $cmcsa $goog $dis",en,[],"['fubo', 'dish', 'cmcsa', 'goog', 'dis']",FALSE,2,0,0,$GOOG
29,1.39222E+18,5/11/2021 20:49,u guys still using #android out there?  experts warn of a new android banking trojan stealing users' credentials  https://t.co/bydlxwzmnp $aapl $goog,en,['android'],"['aapl', 'goog']",FALSE,0,0,1,$GOOG
