Column1,id,date,tweet,language,hashtags,cashtags,retweet,nlikes,nreplies,nretweets,search
0,1.39E+18,5/11/2021 23:54,🚨 $xlm 👀 a daily close in the .70's will be the first since jan 2018.  and its 3rd highest daily close in history.  super bullish  🚀🚀  also: $hoge  $doge $bch $oxt $mkr $atom $btc $dai $eth $omg $xrp $xdc $ada $ltc $zec $bnb $tsla $sq $coin $nflx $amzn $gme $aapl $fb $nio $nu,en,[],"['xlm', 'hoge', 'doge', 'bch', 'oxt', 'mkr', 'atom', 'btc', 'dai', 'eth', 'omg', 'xrp', 'xdc', 'ada', 'ltc', 'zec', 'bnb', 'tsla', 'sq', 'coin', 'nflx', 'amzn', 'gme', 'aapl', 'fb', 'nio', 'nu']",FALSE,2,1,0,$NFLX
1,1.39E+18,5/11/2021 23:52,$abbv daily (may/11) $aapl $algn $amzn $pypl $sq $mu $crm $fb $snap $regn $nvda $nflx $x $ba $baba $mmm $csco $hd $jd $ko $lly $low $pg $tsco $rh $edu $veev $lrcx $adsk $wday $atvi $msft $qqq $spx $aal $ual $unh $sedg $smh $qcom $oled $ulta $cost $wmt $mcd $ko $x $bynd $tdoc  https://t.co/ywadxmizni,en,[],"['abbv', 'aapl', 'algn', 'amzn', 'pypl', 'sq', 'mu', 'crm', 'fb', 'snap', 'regn', 'nvda', 'nflx', 'x', 'ba', 'baba', 'mmm', 'csco', 'hd', 'jd', 'ko', 'lly', 'low', 'pg', 'tsco', 'rh', 'edu', 'veev', 'lrcx', 'adsk', 'wday', 'atvi', 'msft', 'qqq', 'spx', 'aal', 'ual', 'unh', 'sedg', 'smh', 'qcom', 'oled', 'ulta', 'cost', 'wmt', 'mcd', 'ko', 'x', 'bynd', 'tdoc']",FALSE,0,0,0,$NFLX
2,1.39E+18,5/11/2021 23:51,$abbv daily (april/19) $aapl $algn $amzn $pypl $sq $mu $crm $fb $snap $regn $nvda $nflx $x $ba $baba $mmm $csco $hd $jd $ko $lly $low $pg $tsco $rh $edu $veev $lrcx $adsk $wday $atvi $msft $qqq $spx $aal $ual $unh $sedg $smh $qcom $oled $ulta $cost $wmt $mcd $ko $x $bynd $tdoc  https://t.co/apc6pihnbk,en,[],"['abbv', 'aapl', 'algn', 'amzn', 'pypl', 'sq', 'mu', 'crm', 'fb', 'snap', 'regn', 'nvda', 'nflx', 'x', 'ba', 'baba', 'mmm', 'csco', 'hd', 'jd', 'ko', 'lly', 'low', 'pg', 'tsco', 'rh', 'edu', 'veev', 'lrcx', 'adsk', 'wday', 'atvi', 'msft', 'qqq', 'spx', 'aal', 'ual', 'unh', 'sedg', 'smh', 'qcom', 'oled', 'ulta', 'cost', 'wmt', 'mcd', 'ko', 'x', 'bynd', 'tdoc']",FALSE,0,1,0,$NFLX
3,1.39E+18,5/11/2021 23:44,$nflx @mmeatloaf7,en,[],['nflx'],FALSE,0,0,0,$NFLX
4,1.39E+18,5/11/2021 23:38,$chwy 3.30 -&gt; 4.35 $tdoc 5.80 -&gt; 7.40 $zm 4.50 -&gt; 6.83 $zm 10.50 -&gt; 14.10  perfect way to continue the week! 💪  free 3 day trial in my bio! 🆓  $aapl $msft $amzn $fb $nflx $nvda $tsla $googl $qqq $spy $dia $amd $zm $bynd $ba $baba $gme $amc $hd $gs $cost $ma $pltr $shop $bmy,en,[],"['chwy', 'tdoc', 'zm', 'zm', 'aapl', 'msft', 'amzn', 'fb', 'nflx', 'nvda', 'tsla', 'googl', 'qqq', 'spy', 'dia', 'amd', 'zm', 'bynd', 'ba', 'baba', 'gme', 'amc', 'hd', 'gs', 'cost', 'ma', 'pltr', 'shop', 'bmy']",FALSE,2,0,1,$NFLX
5,1.39E+18,5/11/2021 23:37,guys ! i made 3k to 33k after joined this discord group    📣link in bio 📣    $spy $es  $adbe $amzn $msft $aal $roku $baba $crm $googl     $fb $intu $mrvl $atvi $twtr  $orcl $lrcx $amd $nvda  $tsla $ndx  $qqq  $aapl $baba $nflx $roku $ba $cost $mcd $wmt $fb $vix $es $dkng  $adbe  https://t.co/ztjlvxb9yz,en,[],"['spy', 'es', 'adbe', 'amzn', 'msft', 'aal', 'roku', 'baba', 'crm', 'googl', 'fb', 'intu', 'mrvl', 'atvi', 'twtr', 'orcl', 'lrcx', 'amd', 'nvda', 'tsla', 'ndx', 'qqq', 'aapl', 'baba', 'nflx', 'roku', 'ba', 'cost', 'mcd', 'wmt', 'fb', 'vix', 'es', 'dkng', 'adbe']",FALSE,0,0,1,$NFLX
6,1.39E+18,5/11/2021 23:35,$chwy $tdoc &amp; $zm were the plays today! 🔥  waited for the setups to arrive and executed perfectly! 🚀  we went 4/4 on these plays today!   check quote tweet for results!  free 3 day trial in my bio! 🆓  $aapl $msft $amzn $fb $nflx $nvda $tsla $googl $qqq $spy $dia $gme $zm $bynd  https://t.co/oblegci19g,en,[],"['chwy', 'tdoc', 'zm', 'aapl', 'msft', 'amzn', 'fb', 'nflx', 'nvda', 'tsla', 'googl', 'qqq', 'spy', 'dia', 'gme', 'zm', 'bynd']",FALSE,3,0,1,$NFLX
8,1.39E+18,5/11/2021 23:14,$nflx... back to the bump line!  https://t.co/otlr9rz74c,en,[],['nflx'],FALSE,0,0,0,$NFLX
9,1.39E+18,5/11/2021 23:05,"$tvix $tlry $nvda $nflx  $spy $aapl $amd $baba $cgc  ,$1200 into $49k in the last 30 days,. if you really want to make huge profits on trading then,.,., join this winning chat:;   https://t.co/30zetewwiu  https://t.co/wwxtosgije",en,[],"['tvix', 'tlry', 'nvda', 'nflx', 'spy', 'aapl', 'amd', 'baba', 'cgc']",FALSE,0,0,0,$NFLX
10,1.39E+18,5/11/2021 23:04,"$tvix $tlry $nvda $nflx  $spy $aapl $amd $baba $cgc  ,$1200 into $49k in the last 30 days,. if you really want to make huge profits on trading then,.,., join this winning chat:;   https://t.co/30zetewwiu  https://t.co/q6vulxqswl",en,[],"['tvix', 'tlry', 'nvda', 'nflx', 'spy', 'aapl', 'amd', 'baba', 'cgc']",FALSE,0,0,0,$NFLX
11,1.39E+18,5/11/2021 23:04,$qqq you should lighten on $qqq etf but not completely sell out of it. interest rates may go up to 2% but this is not enough to bring down growth stocks e.g. the tech stocks $goog $amzn $aapl $fb $nflx since they are goods/services that make us more productive &amp; more efficient.,en,[],"['qqq', 'qqq', 'goog', 'amzn', 'aapl', 'fb', 'nflx']",FALSE,0,0,0,$NFLX
12,1.39E+18,5/11/2021 23:02,#usa #spendgrowth for #audiostreaming up 12% yoy in mar 2021!  see the data:  https://t.co/6ykrsfr1ty  $aapl $msft $spot $nflx $dis $viac $tme $pltr $eosx $rblx $apdn $sqbg $jmia $plug $ddd $uwmc $lotz $amc $dogex $shibx $ocgn $tsla $sos $etcx $roku $ufs $futu $pypl $fsly $igt $vz  https://t.co/7rms63kon9,en,"['usa', 'spendgrowth', 'audiostreaming']","['aapl', 'msft', 'spot', 'nflx', 'dis', 'viac', 'tme', 'pltr', 'eosx', 'rblx', 'apdn', 'sqbg', 'jmia', 'plug', 'ddd', 'uwmc', 'lotz', 'amc', 'dogex', 'shibx', 'ocgn', 'tsla', 'sos', 'etcx', 'roku', 'ufs', 'futu', 'pypl', 'fsly', 'igt', 'vz']",FALSE,0,0,0,$NFLX
13,1.39E+18,5/11/2021 22:56,$nflx  3-min chart of tsla. the trend is telling with the ultraalgo  https://t.co/ypceocccuu,en,[],['nflx'],FALSE,0,0,0,$NFLX
14,1.39E+18,5/11/2021 22:53,"$tvix $tlry $nvda $nflx  $spy $aapl $amd $baba $cgc  ,,starting with 9k, down to 3k, backup to $19k,,, lot of thanks to this chat-room;,,    https://t.co/pqfgvb32a0  https://t.co/fxyzezwqgr",en,[],"['tvix', 'tlry', 'nvda', 'nflx', 'spy', 'aapl', 'amd', 'baba', 'cgc']",FALSE,0,0,0,$NFLX
